Cross Section Report
Z:/cad/designs/uob-hep-pc053a/trunk/design_files/worklib/pc053e_toplevel/physical/pc053e_toplevel_65.brd
Thu Apr 15 17:55:08 2021

Design Cross Section
Subclass Name,Type,Material,Thickness (MM),Tol +,Tol -,Conductivity (mho/cm),Dielectric Constant,Loss Tangent,Negative Artwork,Shield,Width (MM),Unused Pin Pad Suppression,Unused Via Pad Suppression
,SURFACE,AIR,,,,0,1,0,,,,,
TOP,CONDUCTOR,COPPER,0.018,0,0,595900,4.5,0,,,0.2540,,
,DIELECTRIC,FR-4,0.24,0,0,0,4.5,0.035,,,,,
L2_GND,PLANE,COPPER,0.035,0,0,595900,4.5,0.035,Yes,Yes,,,
,DIELECTRIC,FR-4,0.36,0,0,0,4.5,0.035,,,,,
L3_SIGN,CONDUCTOR,COPPER,0.035,0,0,595900,4.5,0.035,Yes,,0.1270,,
,DIELECTRIC,FR-4,0.24,0,0,0,4.5,0.035,,,,,
L4_SIGN,CONDUCTOR,COPPER,0.035,0,0,595900,4.5,0.035,,,0.2000,,
,DIELECTRIC,FR-4,0.36,0,0,0,4.5,0.035,,,,,
L5_PWR,PLANE,COPPER,0.035,0,0,595900,4.5,0.035,,Yes,,,
,DIELECTRIC,FR-4,0.24,0,0,0,4.5,0.035,,,,,
BOTTOM,CONDUCTOR,COPPER,0.018,0,0,595900,4.5,0,,,0.2540,,
,SURFACE,AIR,,,,0,1,0,,,,,

Total Thickness: 1.616 MM
